Instrument type,Instrument,Mooring,Serial No,Sample Period (secs),Depth,Max Depth,Bottom Depth at deployment,T-Cal bath?,Lat,Long,Clock offset(s),Clock offset end (s),Anchor deploy time (in),Release time (out),Time in Cal bath,Time out cal bath
Star Oddi,Starmon Mini,EAC2000,T-4026,300,262,11000,1940,1,-27.3064,153.9921,0,0,22/4/12 7:27,24/8/13 4:30,24/8/13 6:46,24/8/13 23:15
Star Oddi,Starmon Mini,EAC2000,T-4027,300,312,11000,1940,1,-27.3064,153.9921,0,-900,22/4/12 7:27,24/8/13 4:30,24/8/13 6:49,24/8/13 23:15
Star Oddi,Starmon Mini,EAC2000,T-4029,300,362,11000,1940,1,-27.3064,153.9921,0,-900,22/4/12 7:27,24/8/13 4:30,24/8/13 6:57,24/8/13 23:15
SBE37SMP,SBE37SMP,EAC2000,9170,600,463,3500,1940,1,-27.3064,153.9921,6,6,22/4/12 7:27,24/8/13 4:30,24/8/13 7:02,24/8/13 23:15
RDI ADCP,WHS150 ,EAC2000,16413,3600,615,1500,1940,0,-27.3064,153.9921,0,0,22/4/12 7:27,24/8/13 4:30,0/01/00 0:00,0/01/00 0:00
Star Oddi,Starmon Mini,EAC2000,T-4030,300,762,11000,1940,1,-27.3064,153.9921,0,-900,22/4/12 7:27,24/8/13 4:30,24/8/13 8:11,24/8/13 23:15
SBE37SMP,SBE37SMP,EAC2000,9171,600,962,3500,1940,1,-27.3064,153.9921,4,4,22/4/12 7:27,24/8/13 4:30,24/8/13 8:10,24/8/13 23:15
Nortek DW,Aquadop DW,EAC2000,A6L-4869 (AQD 9496),1800,1162,6000,1940,0,-27.3064,153.9921,0,-1200,22/4/12 7:27,24/8/13 4:30,0/01/00 0:00,0/01/00 0:00
Star Oddi,Starmon Mini,EAC2000,T-4031,300,1165,11000,1940,1,-27.3064,153.9921,0,0,22/4/12 7:27,24/8/13 4:30,24/8/13 8:25,24/8/13 23:15
Star Oddi,Starmon Mini,EAC2000,T-4032,300,1265,11000,1940,1,-27.3064,153.9921,0,-1200,22/4/12 7:27,24/8/13 4:30,24/8/13 8:26,24/8/13 23:15
