Instrument type,Instrument type,Mooring,Serial No,Sample Period (secs),Depth,Max Depth,Bottom Depth at deployment,T-Cal bath?,Lat,Long,Clock offset start,Clock offset end,Anchor deploy time (in),Release time (out),Time in Cal bath,Time out cal bath
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4700,9194,600,4698,7000,4779,1,-27.2087,154.6415,0,55,25/4/18 6:07,13/9/19 21:58,14/9/19 0:07,15/9/19 0:30
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4800,9889,600,40,3500,4790,1,-27.10086,155.29677,0,4,22/4/18 5:50,10/9/19 21:55,11/9/19 21:12,12/9/19 0:25
SBE39TP        ,Sea-Bird Electronics SBE39plus             ,EAC4800,39p-8522,300,60,3500,4790,1,-27.10086,155.29677,0,8,22/4/18 5:50,10/9/19 21:55,11/9/19 4:44,12/9/19 0:25
Nortek DW,Nortek Aquadopp DW,EAC4800,A3L-5199 (AQD 9848),1800,70,3000,4790,0,-27.10086,155.29677,0,53.8,22/4/18 5:50,10/9/19 21:55,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4800,9900,600,80,3500,4790,1,-27.10086,155.29677,0,23,22/4/18 5:50,10/9/19 21:55,11/9/19 0:00,12/9/19 0:25
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC4800,4675,300,100,10500,4790,1,-27.10086,155.29677,0,0,22/4/18 5:50,10/9/19 21:55,11/9/19 0:00,12/9/19 0:25
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4800,9910,600,135,7000,4790,1,-27.10086,155.29677,0,0,22/4/18 5:50,10/9/19 21:55,11/9/19 0:00,12/9/19 0:25
Star Oddi,Star Oddi Starmon mini,EAC4800,T-4031,300,170,6000,4790,1,-27.10086,155.29677,0,-600,22/4/18 5:50,10/9/19 21:55,11/9/19 0:03,12/9/19 0:25
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4800,13078,600,200,7000,4790,1,-27.10086,155.29677,0,-20,22/4/18 5:50,10/9/19 21:55,11/9/19 0:05,12/9/19 0:25
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC4800,4676,300,250,7000,4790,1,-27.10086,155.29677,0,79,22/4/18 5:50,10/9/19 21:55,11/9/19 0:12,12/9/19 0:25
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4800,15105,600,300,3500,4790,1,-27.10086,155.29677,0,-5,22/4/18 5:50,10/9/19 21:55,11/9/19 0:15,12/9/19 0:25
SBE39TP        ,Sea-Bird Electronics SBE39             ,EAC4800,4779,300,350,3500,4790,1,-27.10086,155.29677,0,77,22/4/18 5:50,10/9/19 21:55,11/9/19 0:28,12/9/19 0:25
Star Oddi,Star Oddi Starmon mini,EAC4800,T-3997,300,400,6000,4790,1,-27.10086,155.29677,0,-900,22/4/18 5:50,10/9/19 21:55,11/9/19 0:38,12/9/19 0:25
RDI ADCP,LR75,EAC4800,14890,225,410,1500,4790,0,-27.10086,155.29677,0,-620,22/4/18 5:50,10/9/19 21:55,0/1/00 0:00,0/1/00 0:00
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC4800,1003,300,485,7000,4790,1,-27.10086,155.29677,0,0,22/4/18 5:50,10/9/19 21:55,11/9/19 0:55,12/9/19 0:25
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC4800,A6L-5477 (AQD 8461),1800,600,6000,4790,0,-27.10086,155.29677,0,38.46,22/4/18 5:50,10/9/19 21:55,0/1/00 0:00,0/1/00 0:00
SBE39TP        ,Sea-Bird Electronics SBE39             ,EAC4800,4889,300,600,7000,4790,1,-27.10086,155.29677,0,77,22/4/18 5:50,10/9/19 21:55,11/9/19 1:10,12/9/19 0:25
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC4800,4594,300,800,10500,4790,1,-27.10086,155.29677,0,69,22/4/18 5:50,10/9/19 21:55,11/9/19 1:23,12/9/19 0:25
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC4800,A6L-5478 (AQD 8448),1800,1000,6000,4790,0,-27.10086,155.29677,0,68.5,22/4/18 5:50,10/9/19 21:55,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4800,13077,600,1010,7000,4790,1,-27.10086,155.29677,0,-10,22/4/18 5:50,10/9/19 21:55,11/9/19 1:36,12/9/19 0:25
Star Oddi,Star Oddi Starmon mini,EAC4800,T-4033,300,1195,6000,4790,1,-27.10086,155.29677,0,-1200,22/4/18 5:50,10/9/19 21:55,11/9/19 1:46,12/9/19 0:25
Star Oddi,Star Oddi Starmon mini,EAC4800,T-4034,300,1300,6000,4790,1,-27.10086,155.29677,0,-900,22/4/18 5:50,10/9/19 21:55,11/9/19 2:55,12/9/19 0:25
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC4800,A6L-5480 (AQD 8377),1800,1500,6000,4790,0,-27.10086,155.29677,0,0,22/4/18 5:50,10/9/19 21:55,0/1/00 0:00,0/1/00 0:00
SBE39TP        ,Sea-Bird Electronics SBE39             ,EAC4800,4890,300,1500,7000,4790,1,-27.10086,155.29677,0,99,22/4/18 5:50,10/9/19 21:55,11/9/19 3:08,12/9/19 0:25
Star Oddi,Star Oddi Starmon mini,EAC4800,T-3996,300,1750,6000,4790,1,-27.10086,155.29677,0,-900,22/4/18 5:50,10/9/19 21:55,11/9/19 3:13,12/9/19 0:25
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC4800,A6L-4218 (AQD 6718),1800,2000,6000,4790,0,-27.10086,155.29677,0,45.7,22/4/18 5:50,10/9/19 21:55,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4800,4300,1200,2005,3500,4790,1,-27.10086,155.29677,0,-2,22/4/18 5:50,10/9/19 21:55,11/9/19 3:22,12/9/19 0:25
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC4800,A6L-3640 (AQD 5977),1800,3200,6000,4790,0,-27.10086,155.29677,0,59.3,22/4/18 5:50,10/9/19 21:55,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4800,6265,1200,3205,7000,4790,1,-27.10086,155.29677,0,31,22/4/18 5:50,10/9/19 21:55,11/9/19 4:03,12/9/19 0:25
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC4800,A6L-3657 (AQD 5950),1800,4700,6000,4790,0,-27.10086,155.29677,0,83.8,22/4/18 5:50,10/9/19 21:55,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4800,6266,1200,4705,7000,4790,1,-27.10086,155.29677,0,29,22/4/18 5:50,10/9/19 21:55,11/9/19 4:39,12/9/19 0:25
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4200,9341,600,40,600,4287,1,-27.23979,154.29721,0,45,29/4/18 5:14,16/9/19 21:31,16/9/19 22:40,18/9/19 0:41
SBE39TP        ,Sea-Bird Electronics SBE39plus             ,EAC4200,39p-8518,300,60,3500,4287,1,-27.23979,154.29721,0,3,29/4/18 5:14,16/9/19 21:31,16/9/19 22:49,18/9/19 0:41
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4200,9898,600,80,3500,4287,1,-27.23979,154.29721,0,10,29/4/18 5:14,16/9/19 21:31,16/9/19 22:57,18/9/19 0:41
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC4200,4596,300,100,7000,4287,1,-27.23979,154.29721,0,71,29/4/18 5:14,16/9/19 21:31,16/9/19 23:01,18/9/19 0:41
RDI ADCP,BB150,EAC4200,22801,72,120,1500,4287,0,-27.23979,154.29721,0,791,29/4/18 5:14,16/9/19 21:31,0/1/00 0:00,0/1/00 0:00
RDI ADCP,LR75,EAC4200,14345,225,120,1500,4287,0,-27.23979,154.29721,0,776,29/4/18 5:14,16/9/19 21:31,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4200,9908,600,135,3500,4287,1,-27.23979,154.29721,0,-12,29/4/18 5:14,16/9/19 21:31,16/9/19 23:21,18/9/19 0:41
Star Oddi,Star Oddi Starmon mini,EAC4200,T-4013,300,170,6000,4287,1,-27.23979,154.29721,0,0,29/4/18 5:14,16/9/19 21:31,16/9/19 23:28,18/9/19 0:41
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4200,11405,600,200,3500,4287,1,-27.23979,154.29721,0,11,29/4/18 5:14,16/9/19 21:31,16/9/19 23:32,18/9/19 0:41
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC4200,4197,300,250,7000,4287,1,-27.23979,154.29721,0,74,29/4/18 5:14,16/9/19 21:31,16/9/19 23:36,18/9/19 0:41
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4200,9185,600,300,3500,4287,1,-27.23979,154.29721,0,57,29/4/18 5:14,16/9/19 21:31,16/9/19 23:44,18/9/19 0:41
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC4200,4199,300,350,7000,4287,1,-27.23979,154.29721,0,-65,29/4/18 5:14,16/9/19 21:31,16/9/19 23:56,18/9/19 0:41
Star Oddi,Star Oddi Starmon mini,EAC4200,T-4015,300,400,6000,4287,1,-27.23979,154.29721,0,-300,29/4/18 5:14,16/9/19 21:31,17/9/19 0:00,18/9/19 0:41
