Instrument type,Instrument type,Mooring,Serial No,Sample Period (secs),Depth,Max Depth,Bottom Depth at deployment,T-Cal bath?,Lat,Long,Clock offset start,Clock offset end,Anchor deploy time (in),Release time (out),Time in Cal bath,Time out cal bath
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC2000,9183,600,306,3500,1908,1,-27.3129,153.999,0,53,5/5/18 6:28,23/9/19 21:40,23/9/19 22:37,25/9/19 2:32
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC2000,4888,300,356,7000,1908,1,-27.3129,153.999,0,84,5/5/18 6:28,23/9/19 21:40,23/9/19 22:53,25/9/19 2:32
Star Oddi,Star Oddi Starmon mini,EAC2000,T-4001,300,406,6000,1908,1,-27.3129,153.999,0,0,5/5/18 6:28,23/9/19 21:40,23/9/19 22:57,25/9/19 2:32
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC2000,15131,600,491,3500,1908,1,-27.3129,153.999,0,1,5/5/18 6:28,23/9/19 21:40,23/9/19 23:02,25/9/19 2:32
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC2000,15134,600,616,3500,1908,1,-27.3129,153.999,0,2,5/5/18 6:28,23/9/19 21:40,23/9/19 23:08,25/9/19 2:32
RDI ADCP,LR75,EAC2000,24473,225,656,1500,1908,0,-27.3129,153.999,0,257,5/5/18 6:28,23/9/19 21:40,0/1/00 0:00,25/9/19 2:32
SBE39TP        ,Sea-Bird Electronics SBE39plus             ,EAC2000,39p-8107,300,806,3500,1908,1,-27.3129,153.999,0,-5,5/5/18 6:28,23/9/19 21:40,23/9/19 23:34,25/9/19 2:32
SBE39TP        ,Sea-Bird Electronics SBE39plus             ,EAC2000,39p-8108,300,1006,3500,1908,1,-27.3129,153.999,0,-7,5/5/18 6:28,23/9/19 21:40,23/9/19 23:43,25/9/19 2:32
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC2000,13081,600,1196,7000,1908,1,-27.3129,153.999,0,-23,5/5/18 6:28,23/9/19 21:40,24/9/19 0:00,25/9/19 2:32
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC2000,A6L-3637 (AQD 5943),1800,1201,6000,1908,0,-27.3129,153.999,0,0,5/5/18 6:28,23/9/19 21:40,0/1/00 0:00,25/9/19 2:32
Star Oddi,Star Oddi Starmon mini,EAC2000,T-4005,300,1306,6000,1908,1,-27.3129,153.999,0,0,5/5/18 6:28,23/9/19 21:40,24/9/19 0:22,25/9/19 2:32
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC2000,A6L-3638 (AQD 5971),1800,1506,6000,1908,0,-27.3129,153.999,0,-85.1,5/5/18 6:28,23/9/19 21:40,0/1/00 0:00,25/9/19 2:32
SBE39TP        ,Sea-Bird Electronics SBE39plus             ,EAC2000,39p-8435,300,1506,3500,1908,1,-27.3129,153.999,0,-2,5/5/18 6:28,23/9/19 21:40,24/9/19 0:30,25/9/19 2:32
Star Oddi,Star Oddi Starmon mini,EAC2000,T-4007,300,1756,6000,1908,1,-27.3129,153.999,0,0,5/5/18 6:28,23/9/19 21:40,24/9/19 0:44,25/9/19 2:32
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC2000,A6L-3639 (AQD 5975),1800,1816,6000,1908,0,-27.3129,153.999,0,-60.5,5/5/18 6:28,23/9/19 21:40,0/1/00 0:00,25/9/19 2:32
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC2000,7895,1200,1817,3500,1908,1,-27.3129,153.999,0,-103,5/5/18 6:28,23/9/19 21:40,24/9/19 0:47,25/9/19 2:32
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC0500,9335,600,40,600,540,1,-27.326,153.899,0,33,6/05/2018 1:39,24/9/19 2:08,0/1/00 0:00,25/9/19 2:32
SBE39TP        ,Sea-Bird Electronics SBE39             ,EAC0500,4777,300,60,3500,540,1,-27.326,153.899,0,78,6/05/2018 1:39,24/9/19 2:08,24/9/19 4:41,25/9/19 2:32
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC0500,9895,600,80,3500,540,1,-27.326,153.899,0,23,6/05/2018 1:39,24/9/19 2:08,24/9/19 4:34,25/9/19 2:32
SBE39TP        ,Sea-Bird Electronics SBE39             ,EAC0500,4780,300,100,3500,540,1,-27.326,153.899,0,89,6/05/2018 1:39,24/9/19 2:08,24/9/19 4:08,25/9/19 2:32
RDI ADCP,WH300,EAC0500,14254,72,120,1500,540,0,-27.326,153.899,0,126,6/05/2018 1:39,24/9/19 2:08,0/1/00 0:00,25/9/19 2:32
RDI ADCP,LR75,EAC0500,9788,225,120,1500,540,0,-27.326,153.899,0,108,6/05/2018 1:39,24/9/19 2:08,0/1/00 0:00,25/9/19 2:32
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC0500,9905,600,135,3500,540,1,-27.326,153.899,0,5,6/05/2018 1:39,24/9/19 2:08,24/9/19 4:03,25/9/19 2:32
Star Oddi,Star Oddi Starmon mini,EAC0500,T-3998,300,170,6000,540,1,-27.326,153.899,0,-600,6/05/2018 1:39,24/9/19 2:08,24/9/19 3:58,25/9/19 2:32
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC0500,9911,600,200,3500,540,1,-27.326,153.899,0,19,6/05/2018 1:39,24/9/19 2:08,24/9/19 3:54,25/9/19 2:32
SBE39TP        ,Sea-Bird Electronics SBE39             ,EAC0500,4782,300,250,3500,540,1,-27.326,153.899,0,82,6/05/2018 1:39,24/9/19 2:08,24/9/19 3:43,25/9/19 2:32
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC0500,9171,600,300,3500,540,1,-27.326,153.899,0,51,6/05/2018 1:39,24/9/19 2:08,24/9/19 3:39,25/9/19 2:32
SBE39TP        ,Sea-Bird Electronics SBE39             ,EAC0500,1332,300,350,2000,540,1,-27.326,153.899,0,92,6/05/2018 1:39,24/9/19 2:08,24/9/19 3:35,25/9/19 2:32
Star Oddi,Star Oddi Starmon mini,EAC0500,T-3999,300,400,6000,540,1,-27.326,153.899,0,-600,6/05/2018 1:39,24/9/19 2:08,24/9/19 3:26,25/9/19 2:32
Nortek DW,Nortek Aquadopp DW,EAC0500,A3L-5175 (AQD 9964),1800,460,3000,540,0,-27.326,153.899,0,-57.6,6/05/2018 1:39,24/9/19 2:08,0/1/00 0:00,25/9/19 2:32
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC0500,15121,600,463,3500,540,1,-27.326,153.899,0,-1,6/05/2018 1:39,24/9/19 2:08,24/9/19 3:20,25/9/19 2:32
