Instrument type,Instrument,Mooring,Serial No,Sample Period (secs),Depth,Max Depth,Bottom Depth at deployment,T-Cal bath?,Lat,Long,Clock offset start,Clock offset end,Anchor deploy time (in),Release time (out),Time in Cal bath,Time out cal bath
SBE37,SBE37SMP,EAC4800,13088,600,56,7000,4788,1,-27.10848,155.2886,0,-20,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
SBE39             ,SBE39TP        ,EAC4800,6274,300,75,7000,4788,1,-27.10848,155.2886,0,73,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
Nortek DW,Aquadop DW                    ,EAC4800,A6L-1277 (AQD 1414),1800,85,6000,4788,0,-27.10848,155.2886,0,141,31/10/2016 11:24,19/4/2018 21:27,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC4800,9178,600,95,3500,4788,1,-27.10848,155.2886,0,47,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
Star Oddi,Starmon Mini,EAC4800,T-5298,300,115,10000,4788,1,-27.10848,155.2886,0,0,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
SBE37,SBE37SMP,EAC4800,9179,600,150,3500,4788,1,-27.10848,155.2886,0,53,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
Star Oddi,Starmon Mini,EAC4800,T-5299,300,185,10000,4788,1,-27.10848,155.2886,0,-600,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
SBE37,SBE37SMP,EAC4800,9180,600,215,3500,4788,1,-27.10848,155.2886,0,43,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
Star Oddi,Starmon Mini,EAC4800,T-4995,300,265,10000,4788,1,-27.10848,155.2886,0,-300,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
SBE37,SBE37SMP,EAC4800,9181,600,315,3500,4788,1,-27.10848,155.2886,0,57,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
SBE39             ,SBE39TP        ,EAC4800,6278,300,365,7000,4788,1,-27.10848,155.2886,0,84,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
Star Oddi,Starmon Mini,EAC4800,T-5300,300,415,10000,4788,1,-27.10848,155.2886,0,-600,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
RDI ADCP,LR75,EAC4800,16072,225,423,1500,4788,0,-27.10848,155.2886,0,115,31/10/2016 11:24,19/4/2018 21:27,0/1/00 0:00,0/1/00 0:00
Star Oddi,Starmon Mini,EAC4800,T-5304,300,500,10000,4788,1,-27.10848,155.2886,0,-300,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
Nortek DW,Aquadop DW                    ,EAC4800,A6L-1278 (AQD 1490),1800,616,6000,4788,0,-27.10848,155.2886,0,70,31/10/2016 11:24,19/4/2018 21:27,0/1/00 0:00,0/1/00 0:00
