Instrument type,Instrument,Mooring,Serial No,Sample Period (secs),Depth,Max Depth,Bottom Depth at deployment,T-Cal bath?,Lat,Long,Clock offset start,Clock offset end,Anchor deploy time (in),Release time (out),Time in Cal bath,Time out cal bath
SBE39             ,SBE39TP        ,EAC4800,6277,300,616,7000,4788,1,-27.10848,155.2886,0,61,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
SBE39             ,SBE39T                        ,EAC4800,4677,300,821,10000,4788,1,-27.10848,155.2886,0,65,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
Nortek DW,Aquadop DW                     ,EAC4800,A6L-1281 (AQD 1502),1800,1021,6000,4788,0,-27.10848,155.2886,0,93,31/10/2016 11:24,19/4/2018 21:27,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC4800,9182,600,1025,3500,4788,1,-27.10848,155.2886,0,43,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
Star Oddi,Starmon Mini,EAC4800,T-5301,300,1215,10000,4788,1,-27.10848,155.2886,0,-900,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
Nortek DW,Aquadop DW                     ,EAC4800,A6L-1282 (AQD 1484),1800,1516,6000,4788,0,-27.10848,155.2886,0,136,31/10/2016 11:24,19/4/2018 21:27,0/1/00 0:00,0/1/00 0:00
SBE39             ,SBE39TP        ,EAC4800,4891,300,1516,7000,4788,1,-27.10848,155.2886,0,94,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
Star Oddi,Starmon Mini,EAC4800,T-5303,300,1765,10000,4788,1,-27.10848,155.2886,0,-900,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
Nortek DW,Aquadop DW                    ,EAC4800,A6L-1435 (AQD 1401),1800,2018,6000,4788,0,-27.10848,155.2886,0,233,31/10/2016 11:24,19/4/2018 21:27,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC4800,13267,600,2023,7000,4788,1,-27.10848,155.2886,0,144,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
Nortek DW,Aquadop DW                     ,EAC4800,A6L-4604 (AQD 6508),1800,3021,6000,4788,0,-27.10848,155.2886,0,84,31/10/2016 11:24,19/4/2018 21:27,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC4800,13268,600,3025,7000,4788,1,-27.10848,155.2886,0,-9,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
Nortek DW,Aquadop DW                     ,EAC4800,A6L-4891 (AQD 9872),1800,4709,6000,4788,0,-27.10848,155.2886,0,60,31/10/2016 11:24,19/4/2018 21:27,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC4800,13269,600,4710,7000,4788,1,-27.10848,155.2886,0,-14,31/10/2016 11:24,19/4/2018 21:27,20/4/2018 7:00,20/4/2018 23:00
SBE37,SBE37SMP,EAC4700,15022,600,40,3500,4778,1,-27.20889,154.64505,0,20,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
SBE39             ,SBE39TP        ,EAC4700,6273,300,60,7000,4778,1,-27.20889,154.64505,0,261,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
SBE37,SBE37SMP,EAC4700,9176,600,80,3500,4778,1,-27.20889,154.64505,0,102,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
Star Oddi,Starmon Mini,EAC4700,T-5310,300,100,10000,4778,1,-27.20889,154.64505,0,96,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
RDI ADCP,WH300,EAC4700,14254,72,119,1500,4778,0,-27.20889,154.64505,0,41,3/11/2016 8:00,22/4/2018 21:15,0/1/00 0:00,0/1/00 0:00
RDI ADCP,LR75,EAC4700,16374,225,123,1500,4778,0,-27.20889,154.64505,0,62,3/11/2016 8:00,22/4/2018 21:15,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC4700,9175,600,135,3500,4778,1,-27.20889,154.64505,0,-1200,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
Star Oddi,Starmon Mini,EAC4700,T-5305,300,170,10000,4778,1,-27.20889,154.64505,0,77,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
SBE37,SBE37SMP,EAC4700,8295,600,200,1000,4778,1,-27.20889,154.64505,0,72,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
SBE39             ,SBE39T                        ,EAC4700,4678,300,250,10000,4778,1,-27.20889,154.64505,0,-1500,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
SBE37,SBE37SMP,EAC4700,5721,600,300,3500,4778,1,-27.20889,154.64505,0,42,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
SBE39             ,SBE39T                        ,EAC4700,4679,300,350,10000,4778,1,-27.20889,154.64505,0,-16,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
Star Oddi,Starmon Mini,EAC4700,T-5306,300,400,10000,4778,1,-27.20889,154.64505,0,119,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
Star Oddi,Starmon Mini,EAC4700,T-5325,300,485,10000,4778,1,-27.20889,154.64505,0,-15,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
Nortek DW,Aquadop DW                     ,EAC4700,A6L-4908 (AQD 9897),1800,600,6000,4778,0,-27.20889,154.64505,0,83,3/11/2016 8:00,22/4/2018 21:15,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC4700,7900,600,603,3500,4778,1,-27.20889,154.64505,0,-25,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
SBE39             ,SBE39T                        ,EAC4700,4680,300,800,10000,4778,1,-27.20889,154.64505,0,101,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
Nortek DW,Aquadop DW                     ,EAC4700,A6L-4909 (AQD 9844),1800,1005,6000,4778,0,-27.20889,154.64505,0,50,3/11/2016 8:00,22/4/2018 21:15,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC4700,9177,600,1008,3500,4778,1,-27.20889,154.64505,0,51,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
Star Oddi,Starmon Mini,EAC4700,T-5307,300,1200,10000,4778,1,-27.20889,154.64505,0,-1200,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
Star Oddi,Starmon Mini,EAC4700,T-5308,300,1300,10000,4778,1,-27.20889,154.64505,0,-1500,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
Nortek DW,Aquadop DW                     ,EAC4700,A6L-5006 (AQD 9892),1800,1507,6000,4778,0,-27.20889,154.64505,0,41,3/11/2016 8:00,22/4/2018 21:15,0/1/00 0:00,0/1/00 0:00
SBE39             ,SBE39TP        ,EAC4700,4781,300,1507,10000,4778,1,-27.20889,154.64505,0,117,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
Star Oddi,Starmon Mini,EAC4700,T-5309,300,1750,10000,4778,1,-27.20889,154.64505,0,-600,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
Nortek DW,Aquadop DW                     ,EAC4700,A6L-5007 (AQD 9895),1800,2007,6000,4778,0,-27.20889,154.64505,0,51,3/11/2016 8:00,22/4/2018 21:15,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC4700,13266,600,2012,7000,4778,1,-27.20889,154.64505,0,-12,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
Nortek DW,Aquadop DW                     ,EAC4700,A6L-5008 (AQD 9889),1800,3015,6000,4778,0,-27.20889,154.64505,0,44,3/11/2016 8:00,22/4/2018 21:15,0/1/00 0:00,0/1/00 0:00
SBE39             ,SBE39TP        ,EAC4700,6279,300,3015,7000,4778,1,-27.20889,154.64505,0,81,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
Nortek DW,Aquadop DW                     ,EAC4700,A6L-5009 (AQD 9890),1800,4677,6000,4778,0,-27.20889,154.64505,0,73,3/11/2016 8:00,22/4/2018 21:15,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC4700,13085,600,4693,7000,4778,1,-27.20889,154.64505,0,-15,3/11/2016 8:00,22/4/2018 21:15,23/4/2018 6:00,23/4/2018 22:32
SBE37,SBE37SMP,EAC4200,14035,600,50,3500,4268,1,-27.239,154.291,0,-7,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
SBE39             ,SBE39TP     ,EAC4200,39p-8078,300,70,3500,4268,1,-27.239,154.291,0,-25,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
SBE37,SBE37SMP,EAC4200,9173,600,90,3500,4268,1,-27.239,154.291,0,53,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
Star Oddi,Starmon Mini,EAC4200,T-5315,300,110,10000,4268,1,-27.239,154.291,0,-600,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
RDI ADCP,BB150,EAC4200,23160,72,130,1500,4268,0,-27.239,154.291,0,618,6/11/2016 8:20,25/4/2018 21:19,0/1/00 0:00,0/1/00 0:00
RDI ADCP,LR75,EAC4200,16429,225,132,1500,4268,0,-27.239,154.291,0,425,6/11/2016 8:20,25/4/2018 21:19,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC4200,15021,600,145,3500,4268,1,-27.239,154.291,0,-8,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
Star Oddi,Starmon Mini,EAC4200,T-5311,300,180,10000,4268,1,-27.239,154.291,0,-300,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
SBE37,SBE37SMP,EAC4200,13083,600,210,7000,4268,1,-27.239,154.291,0,-15,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
SBE39             ,SBE39T                        ,EAC4200,4681,300,260,10000,4268,1,-27.239,154.291,0,100,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
SBE37,SBE37SMP,EAC4200,13080,600,310,7000,4268,1,-27.239,154.291,0,-8,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
SBE39             ,SBE39T                        ,EAC4200,4682,300,360,10000,4268,1,-27.239,154.291,0,99,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
Star Oddi,Starmon Mini,EAC4200,T-5312,300,410,10000,4268,1,-27.239,154.291,0,0,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
SBE37,SBE37SMP,EAC4200,7904,600,620,3500,4268,1,-27.239,154.291,0,20,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
RDI ADCP,LR75,EAC4200,14397,225,662,1500,4268,0,-27.239,154.291,0,261,6/11/2016 8:20,25/4/2018 21:19,0/1/00 0:00,0/1/00 0:00
SBE39             ,SBE39T                        ,EAC4200,4683,300,810,10000,4268,1,-27.239,154.291,0,102,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
SBE39             ,SBE39T                        ,EAC4200,4684,300,1010,10000,4268,1,-27.239,154.291,0,96,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
SBE37,SBE37SMP,EAC4200,9174,600,1200,3500,4268,1,-27.239,154.291,0,41,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
Nortek DW,Aquadop DW                     ,EAC4200,A6L-5011 (AQD 9870),1800,1208,6000,4268,0,-27.239,154.291,0,62,6/11/2016 8:20,25/4/2018 21:19,0/1/00 0:00,0/1/00 0:00
Star Oddi,Starmon Mini,EAC4200,T-5313,300,1310,10000,4268,1,-27.239,154.291,0,-1200,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
Nortek DW,Aquadop DW                     ,EAC4200,A6L-5012 (AQD 9851),1800,1510,6000,4268,0,-27.239,154.291,0,77,6/11/2016 8:20,25/4/2018 21:19,0/1/00 0:00,0/1/00 0:00
SBE39             ,SBE39TP        ,EAC4200,6283,300,1510,7000,4268,1,-27.239,154.291,0,72,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
Star Oddi,Starmon Mini,EAC4200,T-5314,300,1760,10000,4268,1,-27.239,154.291,0,-1500,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
Nortek DW,Aquadop DW                     ,EAC4200,A6L-5013 (AQD 9898),1800,2015,6000,4268,0,-27.239,154.291,0,42,6/11/2016 8:20,25/4/2018 21:19,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC4200,13264,600,2020,7000,4268,1,-27.239,154.291,0,-16,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
Nortek DW,Aquadop DW                     ,EAC4200,A6L-5060 (AQD 9896),1800,3020,6000,4268,0,-27.239,154.291,0,119,6/11/2016 8:20,25/4/2018 21:19,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC4200,13265,600,3025,7000,4268,1,-27.239,154.291,0,-15,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
Nortek DW,Aquadop DW                     ,EAC4200,A6L-5061 (AQD 9891),1800,4187,6000,4268,0,-27.239,154.291,0,83,6/11/2016 8:20,25/4/2018 21:19,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC4200,13084,600,4187,7000,4268,1,-27.239,154.291,0,-25,6/11/2016 8:20,25/4/2018 21:19,26/4/2018 5:00,26/4/2018 21:45
SBE37,SBE37SMP,EAC3200,14034,600,62,3500,3180,1,-27.28394,154.13668,0,-8,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
SBE39             ,SBE39TP     ,EAC3200,39p-8077,300,82,3500,3180,1,-27.28394,154.13668,0,-37,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
Star Oddi,Starmon Mini,EAC3200,T-5320,300,122,10000,3180,1,-27.28394,154.13668,0,0,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
RDI ADCP,BB150,EAC3200,16413,72,141,1500,3180,0,-27.28394,154.13668,0,457,8/11/2016 5:00,29/4/2018 21:19,0/1/00 0:00,0/1/00 0:00
RDI ADCP,LR75,EAC3200,17677,225,142,1500,3180,0,-27.28394,154.13668,0,398,8/11/2016 5:00,29/4/2018 21:19,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC3200,13087,600,157,7000,3180,1,-27.28394,154.13668,0,-17,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
Star Oddi,Starmon Mini,EAC3200,T-5316,300,192,10000,3180,1,-27.28394,154.13668,0,0,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
SBE37,SBE37SMP,EAC3200,13086,600,222,7000,3180,1,-27.28394,154.13668,0,-7,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
SBE39             ,SBE39T                        ,EAC3200,4685,300,272,10000,3180,1,-27.28394,154.13668,0,152,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
SBE37,SBE37SMP,EAC3200,11403,600,322,3500,3180,1,-27.28394,154.13668,0,-15,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
SBE39             ,SBE39T                        ,EAC3200,4686,300,372,10000,3180,1,-27.28394,154.13668,0,100,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
Star Oddi,Starmon Mini,EAC3200,T-5317,300,422,10000,3180,1,-27.28394,154.13668,0,-600,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
SBE37,SBE37SMP,EAC3200,11402,600,507,3500,3180,1,-27.28394,154.13668,0,5,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
SBE37,SBE37SMP,EAC3200,7759,600,632,3500,3180,1,-27.28394,154.13668,0,11,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
SBE39             ,SBE39TP        ,EAC3200,6282,300,822,7000,3180,1,-27.28394,154.13668,0,65,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
SBE39             ,SBE39T                        ,EAC3200,4688,300,1022,10000,3180,1,-27.28394,154.13668,0,146,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
SBE37,SBE37SMP,EAC3200,9192,600,1212,7000,3180,1,-27.28394,154.13668,0,51,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
Nortek DW,Aquadop DW                     ,EAC3200,A6L-5064 (AQD 9894),1800,1217,6000,3180,0,-27.28394,154.13668,0,79,8/11/2016 5:00,29/4/2018 21:19,0/1/00 0:00,0/1/00 0:00
Star Oddi,Starmon Mini,EAC3200,T-5318,300,1322,10000,3180,1,-27.28394,154.13668,0,-1500,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
Nortek DW,Aquadop DW                     ,EAC3200,A6L-5065 (AQD 9826),1800,1522,6000,3180,0,-27.28394,154.13668,0,90,8/11/2016 5:00,29/4/2018 21:19,0/1/00 0:00,0/1/00 0:00
Star Oddi,Starmon Mini,EAC3200,T-5319,300,1772,10000,3180,1,-27.28394,154.13668,0,-600,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
Nortek DW,Aquadop DW                     ,EAC3200,A6L-5068 (AQD 9882),1800,2027,6000,3180,0,-27.28394,154.13668,0,117,8/11/2016 5:00,29/4/2018 21:19,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC3200,13262,600,2032,7000,3180,1,-27.28394,154.13668,0,-32,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
Nortek DW,Aquadop DW                     ,EAC3200,A6L-5069 (AQD 6837),1800,3102,6000,3180,0,-27.28394,154.13668,0,96,8/11/2016 5:00,29/4/2018 21:19,0/1/00 0:00,0/1/00 0:00
SBE37,SBE37SMP,EAC3200,13263,600,3103,7000,3180,1,-27.28394,154.13668,0,-4,8/11/2016 5:00,29/4/2018 21:19,30/4/2018 7:00,30/4/2018 22:25
SBE37,SBE37SMP,EAC2000,14030,600,24,3500,1879,1,-27.31748,154.00169,0,-13,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
SBE39             ,SBE39TP     ,EAC2000,39p-8076,300,44,3500,1879,1,-27.31748,154.00169,0,0,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
SBE37,SBE37SMP,EAC2000,13256,600,64,7000,1879,1,-27.31748,154.00169,0,76,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
SBE39             ,SBE39TP                     ,EAC2000,1331,300,84,2000,1879,1,-27.31748,154.00169,0,91,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
RDI ADCP,BB150,EAC2000,23601,72,103,1500,1879,0,-27.31748,154.00169,0,645,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
RDI ADCP,LR75,EAC2000,17742,225,104,1500,1879,0,-27.31748,154.00169,0,422,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
SBE37,SBE37SMP,EAC2000,13260,600,119,7000,1879,1,-27.31748,154.00169,0,-15,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
Star Oddi,Starmon Mini,EAC2000,T-5321,300,154,10000,1879,1,-27.31748,154.00169,0,-300,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
SBE37,SBE37SMP,EAC2000,13259,600,184,7000,1879,1,-27.31748,154.00169,0,-2,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
SBE39             ,SBE39T                        ,EAC2000,4689,300,234,10000,1879,1,-27.31748,154.00169,0,74,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
SBE37,SBE37SMP,EAC2000,13258,600,284,7000,1879,1,-27.31748,154.00169,0,-8,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
SBE39             ,SBE39T                        ,EAC2000,4690,300,334,3500,1879,1,-27.31748,154.00169,0,82,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
Star Oddi,Starmon Mini,EAC2000,T-5322,300,384,10000,1879,1,-27.31748,154.00169,0,-900,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
SBE37,SBE37SMP,EAC2000,13257,600,469,7000,1879,1,-27.31748,154.00169,0,-3,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
SBE37,SBE37SMP,EAC2000,7902,600,594,3500,1879,1,-27.31748,154.00169,0,35,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
RDI ADCP,LR75,EAC2000,14489,225,634,1500,1879,0,-27.31748,154.00169,0,852,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
SBE39             ,SBE39TP        ,EAC2000,6281,300,784,7000,1879,1,-27.31748,154.00169,0,79,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
SBE39             ,SBE39TP        ,EAC2000,6280,300,984,7000,1879,1,-27.31748,154.00169,0,87,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
SBE37,SBE37SMP,EAC2000,11404,600,1174,3500,1879,1,-27.31748,154.00169,0,-1,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
Nortek DW,Aquadop DW                     ,EAC2000,A6L-5070 (AQD 6829),1800,1179,6000,1879,0,-27.31748,154.00169,0,97,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
Star Oddi,Starmon Mini,EAC2000,T-5323,300,1284,10000,1879,1,-27.31748,154.00169,0,-900,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
Nortek DW,Aquadop DW                     ,EAC2000,A6L-5476 (AQD 6831),1800,1484,6000,1879,0,-27.31748,154.00169,0,65,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
SBE39             ,SBE39TP        ,EAC2000,6285,300,1485,7000,1879,1,-27.31748,154.00169,0,115,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
Star Oddi,Starmon Mini,EAC2000,T-5324,300,1734,10000,1879,1,-27.31748,154.00169,0,-600,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
Nortek DW,Aquadop DW                     ,EAC2000,A6L-6986 (AQD-12045),1800,1794,6000,1879,0,-27.31748,154.00169,0,62,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
SBE37,SBE37SMP,EAC2000,13261,600,1795,3500,1879,1,-27.31748,154.00169,0,-7,11/11/2016 7:20,2/5/2018 21:15,3/5/2018 2:30,3/5/2018 22:30
SBE37,SBE37SMP,EAC0500,14029,600,33,3500,536,1,-27.32913,153.89885,0,2,11/11/2016 0:40,3/5/2018 2:58,3/5/2018 7:00,3/5/2018 22:30
SBE39             ,SBE39TP     ,EAC0500,39p-8075,300,53,3500,536,1,-27.32913,153.89885,0,-15,11/11/2016 0:40,3/5/2018 2:58,3/5/2018 7:00,3/5/2018 22:30
