Instrument type,	Instrument,	Mooring,	Serial No,	Sample Period (secs),	Depth,	Max Depth,	Bottom Depth at deployment,	T-Cal bath?,	Lat,	Long,	Clock offset start,	Clock offset end,	Anchor deploy time (in),	Release time (out),	Time in Cal bath,	Time out cal bath,
SBE37,SBE37SMP,EAC0500,20870, ,75,,545,,-27.3293 ,153.90068,0,-17,27/09/2019 01:04,28/5/2021 3:00,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC0500,9181, ,95,,545,,-27.3293 ,153.90068,0,77,27/09/2019 01:04,28/5/2021 3:00,01/01/2001 00:00,01/01/2001 00:00
RDI ADCP,WHS300-I-UG164,EAC0500,16431, ,115,,545,,-27.3293 ,153.90068,0,519,27/09/2019 01:04,28/5/2021 3:00,01/01/2001 00:00,01/01/2001 00:00
RDI ADCP,WHLS75-I-2,EAC0500,12474, ,115,,545,,-27.3293 ,153.90068,0,179,27/09/2019 01:04,28/5/2021 3:00,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC0500,14030, ,130,,545,,-27.3293 ,153.90068,0,-6,27/09/2019 01:04,28/5/2021 3:00,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC0500,20266, ,164,,545,,-27.3293 ,153.90068,0,-30,27/09/2019 01:04,28/5/2021 3:00,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC0500,9189, ,195,,545,,-27.3293 ,153.90068,0,87,27/09/2019 01:04,28/5/2021 3:00,01/01/2001 00:00,01/01/2001 00:00
SBE39,SBE39plus,EAC0500,39p-8075, ,245,,545,,-27.3293 ,153.90068,0,-6,27/09/2019 01:04,28/5/2021 3:00,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC0500,20277, ,295,,545,,-27.3293 ,153.90068,0,-28,27/09/2019 01:04,28/5/2021 3:00,01/01/2001 00:00,01/01/2001 00:00
SBE39,SBE39plus,EAC0500,39p-8076, ,345,,545,,-27.3293 ,153.90068,0,0,27/09/2019 01:04,28/5/2021 3:00,01/01/2001 00:00,01/01/2001 00:00
SBE39,SBE39plus,EAC0500,39p-8077, ,395,,545,,-27.3293 ,153.90068,0,-32,27/09/2019 01:04,28/5/2021 3:00,01/01/2001 00:00,01/01/2001 00:00
Nortek DW,Aquadopp DW 2Mhz,EAC0500,A6L-1278 (AQD 1490), ,475,,545,,-27.3293 ,153.90068,0,-91,27/09/2019 01:04,28/5/2021 3:00,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC0500,6267, ,475,,545,,-27.3293 ,153.90068,0,0,27/09/2019 01:04,28/5/2021 3:00,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC3200,8295, ,45,,3185,,-27.2846 ,154.1366,0,14,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC3200,20873, ,65,,3185,,-27.2846 ,154.1366,0,-36,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC3200,20875, ,85,,3185,,-27.2846 ,154.1366,0,-27,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC3200,9180, ,105,,3185,,-27.2846 ,154.1366,0,54,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
RDI ADCP,WHLS150-I-2,EAC3200,23160, ,125,,3185,,-27.2846 ,154.1366,0,198,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
RDI ADCP,WHLS75-I-2,EAC3200,14462, ,125,,3185,,-27.2846 ,154.1366,0,841,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC3200,20262, ,140,,3185,,-27.2846 ,154.1366,0,-32,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC3200,20269, ,175,,3185,,-27.2846 ,154.1366,0,-17,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC3200,20273, ,205,,3185,,-27.2846 ,154.1366,0,-25,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC3200,6263, ,255,,3185,,-27.2846 ,154.1366,0,16,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC3200,6268, ,305,,3185,,-27.2846 ,154.1366,0,47,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE39,SBE39,EAC3200,4680, ,355,,3185,,-27.2846 ,154.1366,0,113,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE39,SBE39plus,EAC3200,39p-8663, ,405,,3185,,-27.2846 ,154.1366,0,-29,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC3200,7904, ,490,,3185,,-27.2846 ,154.1366,0,26,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC3200,13085, ,615,,3185,,-27.2846 ,154.1366,0,-17,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
